                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30104,                0.48864,                0.27993,                0.92633,                0.96285,                0.90743,                0.93369,                0.89254,                0.96471,                0.90911,                0.93031,                0.89479,                0.30683,                0.61424,                0.40828,                0.56282,             0.00055483,             0.00055483,             0.00055483
                      2,                0.32343,                0.52573,                0.30748,                0.93888,                0.96573,                0.88796,                0.91672,                0.87684,                0.97522,                0.88402,                 0.9167,                0.88467,                0.30672,                0.67758,                0.53721,                0.54837,              0.0010555,              0.0010555,              0.0010555
                      3,                0.33668,                0.55691,                 0.3302,                0.94614,                0.96469,                0.88346,                0.91571,                0.86339,                0.96709,                 0.8853,                0.91376,                 0.8743,                0.32107,                0.64189,                0.44848,                0.56721,              0.0015012,              0.0015012,              0.0015012
                      4,                0.33233,                0.54173,                0.31744,                0.94566,                0.97565,                0.88458,                0.92993,                0.87945,                0.97551,                0.88523,                0.92358,                0.87993,                0.33926,                0.70735,                0.43365,                0.60854,              0.0014195,              0.0014195,              0.0014195
                      5,                0.33669,                 0.5573,                0.32488,                0.94494,                0.97875,                0.88468,                0.92362,                0.87901,                0.97875,                0.88468,                0.92203,                0.88201,                0.32136,                0.68077,                0.45247,                0.56676,              0.0014195,              0.0014195,              0.0014195
                      6,                0.33275,                0.53115,                0.31992,                0.94362,                0.97403,                0.88913,                0.92799,                0.87713,                0.97597,                 0.8908,                0.92592,                0.88276,                0.31531,                0.68828,                 0.4704,                0.55327,              0.0013369,              0.0013369,              0.0013369
                      7,                0.33067,                0.53115,                0.31048,                0.94019,                0.97253,                0.88771,                0.91818,                0.87787,                0.97289,                0.88716,                0.91765,                0.88081,                0.31886,                0.65401,                0.53392,                0.56901,              0.0012544,              0.0012544,              0.0012544
                      8,                0.31943,                0.51047,                0.31003,                0.93935,                0.95961,                0.89823,                0.92133,                0.87668,                0.95961,                0.89823,                0.92079,                0.88354,                0.30585,                0.66987,                0.58625,                 0.5554,              0.0011719,              0.0011719,              0.0011719
                      9,                0.31215,                0.49314,                0.29248,                0.93375,                 0.9606,                0.90829,                 0.9334,                0.89462,                 0.9606,                0.90829,                0.93082,                 0.8993,                0.30419,                0.60951,                0.42389,                0.55139,              0.0010894,              0.0010894,              0.0010894
                     10,                  0.305,                 0.4967,                0.28446,                0.92875,                0.96766,                0.90753,                0.93171,                0.88861,                0.96518,                0.91001,                0.93066,                0.89267,                0.29992,                0.69822,                0.40817,                0.54798,              0.0010069,              0.0010069,              0.0010069
                     11,                0.25635,                0.40881,                0.29054,                0.91692,                0.97229,                  0.912,                0.93474,                0.89218,                0.97076,                0.91268,                0.93363,                0.89571,                 0.2991,                  0.651,                0.36659,                0.54328,             0.00092435,             0.00092435,             0.00092435
                     12,                0.25854,                0.41331,                0.28815,                0.92066,                0.97674,                0.89873,                0.93172,                0.89123,                0.98273,                0.90001,                0.93065,                 0.8909,                0.28846,                0.67508,                0.37227,                0.51442,             0.00084184,             0.00084184,             0.00084184
                     13,                 0.2375,                0.37066,                0.26353,                0.90507,                0.97035,                0.90558,                0.93974,                 0.9011,                0.97035,                0.90558,                0.93529,                0.90149,                 0.2768,                0.61583,                0.36762,                0.51245,             0.00075932,             0.00075932,             0.00075932
                     14,                0.22448,                0.36236,                0.24917,                0.90001,                 0.9712,                0.91122,                0.94133,                0.90628,                0.97313,                0.91288,                0.93935,                0.90682,                0.27545,                0.64254,                0.36013,                0.51323,              0.0006768,              0.0006768,              0.0006768
                     15,                0.21626,                0.34113,                0.23871,                0.89789,                0.97774,                0.90937,                 0.9426,                0.90528,                0.97577,                0.90745,                0.93715,                0.90424,                0.26206,                0.66399,                0.35627,                0.48053,             0.00059429,             0.00059429,             0.00059429
                     16,                0.20589,                0.32629,                0.22524,                0.88638,                0.97929,                0.89863,                0.94301,                0.90501,                0.97335,                0.90793,                0.93797,                0.90878,                0.24578,                0.64892,                0.35883,                0.48474,             0.00051177,             0.00051177,             0.00051177
                     17,                0.19227,                 0.3135,                0.21019,                0.87587,                0.97383,                0.90697,                0.93947,                0.90557,                0.97383,                0.90697,                0.93696,                0.90848,                0.24843,                0.63829,                 0.3676,                0.48591,             0.00042925,             0.00042925,             0.00042925
                     18,                0.18621,                 0.3066,                0.19979,                0.87187,                0.97724,                0.91166,                0.94283,                0.90789,                0.97529,                0.90974,                0.94231,                0.90865,                0.22783,                0.65575,                0.33806,                0.46805,             0.00034674,             0.00034674,             0.00034674
                     19,                0.17669,                0.28558,                0.19045,                0.87015,                0.97743,                0.91545,                0.94624,                0.91009,                0.97849,                0.91082,                0.94162,                 0.9096,                0.23699,                0.63108,                0.31763,                0.46826,             0.00026422,             0.00026422,             0.00026422
                     20,                0.16587,                   0.27,                0.17642,                0.86656,                0.98343,                0.90558,                0.94516,                0.91258,                0.97006,                0.91836,                0.94262,                0.91218,                0.22101,                0.65515,                0.32394,                 0.4588,              0.0001817,              0.0001817,              0.0001817
