                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33822,                0.64548,                0.35082,                0.96249,                0.97126,                0.90918,                0.95252,                0.91277,                0.97568,                0.90826,                0.94533,                0.89297,                0.25642,                0.47714,                0.28953,                0.50549,             0.00055494,             0.00055494,             0.00055494
                      2,                0.33348,                0.60485,                0.32344,                0.95058,                  0.978,                0.90012,                0.93944,                0.89429,                  0.978,                0.90012,                0.93378,                0.87397,                0.27195,                 0.5394,                0.38886,                0.54061,              0.0010831,              0.0010831,              0.0010831
                      3,                0.35268,                0.62094,                0.34273,                0.95837,                0.96823,                0.88377,                0.92487,                0.88257,                0.96823,                0.88377,                0.92057,                0.86887,                0.29424,                0.53094,                0.52735,                0.55832,              0.0015838,              0.0015838,              0.0015838
                      4,                0.35547,                0.63171,                0.34728,                0.95811,                0.96708,                 0.8913,                0.94293,                0.89448,                0.96813,                0.89213,                 0.9381,                 0.8779,                0.28502,                0.51542,                0.36792,                0.55855,              0.0015432,              0.0015432,              0.0015432
                      5,                0.34462,                0.59217,                0.33458,                0.95148,                0.98542,                0.89357,                0.95454,                0.90332,                0.98305,                0.89108,                 0.9414,                0.89061,                0.27031,                0.54654,                0.29607,                0.52385,               0.001502,               0.001502,               0.001502
                      6,                0.33651,                0.57313,                0.32316,                0.94914,                0.97214,                0.89086,                0.95387,                 0.8989,                 0.9707,                0.89059,                0.94212,                0.87294,                0.31067,                0.53938,                0.34405,                0.57737,              0.0014607,              0.0014607,              0.0014607
                      7,                0.33903,                0.57482,                0.32905,                0.94632,                0.98346,                 0.8813,                 0.9297,                0.88081,                0.98369,                0.88191,                0.92361,                0.86283,                0.29875,                0.55894,                0.41493,                0.55482,              0.0014195,              0.0014195,              0.0014195
                      8,                0.33648,                0.57569,                0.31898,                0.94143,                0.96736,                0.89366,                0.95066,                0.90354,                0.96957,                0.89081,                0.94192,                0.88912,                0.27874,                0.52844,                0.33553,                0.53423,              0.0013782,              0.0013782,              0.0013782
                      9,                0.33094,                0.56478,                0.31179,                0.94001,                0.96939,                0.90571,                0.96209,                0.91074,                0.97362,                0.90746,                 0.9565,                0.88267,                0.28963,                0.48312,                0.31345,                0.55282,              0.0013369,              0.0013369,              0.0013369
                     10,                 0.3243,                0.54697,                0.30985,                0.93513,                0.97238,                0.87103,                0.94453,                0.89261,                0.98112,                0.86461,                0.93764,                0.86787,                0.32984,                0.56185,                0.41762,                0.60734,              0.0012957,              0.0012957,              0.0012957
                     11,                0.31769,                0.52747,                0.29908,                0.93469,                0.97633,                0.88997,                0.95318,                0.90505,                0.97118,                0.89321,                0.94516,                0.89183,                0.27256,                0.49527,                0.32511,                0.53873,              0.0012544,              0.0012544,              0.0012544
                     12,                0.31634,                0.52539,                0.29417,                0.93202,                0.97837,                0.89409,                0.96083,                0.91492,                0.97799,                0.89436,                0.95132,                  0.891,                0.25634,                0.52107,                0.30291,                0.51925,              0.0012132,              0.0012132,              0.0012132
                     13,                0.31886,                0.51707,                 0.3022,                0.93383,                0.97195,                0.89234,                0.95484,                0.90855,                0.97267,                0.89301,                0.94724,                0.89575,                 0.2706,                0.52514,                0.30998,                0.53431,              0.0011719,              0.0011719,              0.0011719
                     14,                0.30888,                 0.5019,                 0.2862,                0.92883,                0.97717,                0.88561,                0.93166,                 0.8896,                0.97488,                0.88613,                0.92717,                0.87091,                0.27633,                 0.5509,                0.51489,                0.54998,              0.0011306,              0.0011306,              0.0011306
                     15,                0.30909,                0.51035,                0.28525,                0.92942,                0.97647,                0.88503,                0.95688,                0.90937,                0.97604,                0.88416,                0.95232,                0.89189,                0.25689,                0.51374,                0.30591,                0.51943,              0.0010894,              0.0010894,              0.0010894
