                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68494,                 1.3315,                0.92021,                 1.1908,                0.84691,                0.85861,                0.84664,                0.61817,                0.84903,                0.86053,                0.85134,                0.65527,                0.96223,                 1.1143,                 1.0373,                 1.2746,             0.00055344,             0.00055344,             0.00055344
                      2,                0.61314,                 1.0004,                0.65547,                 1.1342,                0.87077,                0.83451,                0.85974,                0.66401,                0.86702,                0.83092,                0.85808,                 0.6872,                0.98651,                 1.3275,                 1.0336,                 1.1954,              0.0010908,              0.0010908,              0.0010908
                      3,                0.59127,                0.97741,                0.61545,                 1.1119,                0.96788,                0.87844,                0.89207,                 0.6934,                0.96983,                0.88036,                 0.8942,                0.75706,                0.88898,                 1.0177,                0.74783,                 1.0739,              0.0016098,              0.0016098,              0.0016098
                      4,                0.56591,                0.95628,                0.59307,                 1.0964,                0.93456,                0.87298,                0.88882,                0.73324,                0.93267,                0.87131,                0.88045,                0.76118,                0.73155,                0.93142,                0.86321,                  1.012,              0.0015845,              0.0015845,              0.0015845
                      5,                0.53155,                0.87017,                0.54245,                 1.0691,                0.92694,                0.85023,                0.88841,                 0.7101,                0.89658,                0.88034,                0.88953,                0.75021,                0.73075,                0.96117,                0.82625,                0.92522,               0.001557,               0.001557,               0.001557
                      6,                0.50386,                0.81331,                0.50651,                 1.0503,                0.94048,                0.86371,                 0.8945,                 0.7469,                0.93853,                0.86203,                0.89338,                0.78073,                0.67651,                0.92512,                0.75375,                0.92412,              0.0015295,              0.0015295,              0.0015295
                      7,                0.47293,                0.76798,                0.47711,                 1.0357,                0.95222,                0.87735,                0.89264,                0.77494,                0.95203,                0.87399,                0.89336,                0.81069,                0.59984,                0.83221,                0.75987,                 0.8486,               0.001502,               0.001502,               0.001502
                      8,                0.46674,                0.76464,                0.47289,                 1.0281,                0.95179,                0.87211,                0.89989,                0.77261,                0.94987,                0.87043,                0.89561,                0.79784,                 0.5906,                0.93882,                0.71192,                0.87603,              0.0014745,              0.0014745,              0.0014745
                      9,                0.45362,                0.70375,                0.44721,                 1.0203,                0.94243,                0.87656,                0.89824,                0.76337,                0.94243,                0.87656,                0.89685,                0.81376,                0.59153,                0.75199,                0.70561,                0.82097,               0.001447,               0.001447,               0.001447
                     10,                  0.437,                0.69535,                0.43048,                 1.0102,                0.94709,                0.88094,                0.88839,                0.74995,                0.94745,                0.87996,                0.88829,                0.80107,                0.61041,                0.76147,                0.89671,                0.84249,              0.0014195,              0.0014195,              0.0014195
                     11,                0.42668,                  0.684,                0.41931,                0.99652,                0.97968,                0.88234,                 0.9055,                0.79669,                0.97968,                0.88234,                0.90449,                0.84103,                0.53505,                0.75996,                0.64265,                0.76908,              0.0013919,              0.0013919,              0.0013919
                     12,                0.41576,                 0.6283,                0.40549,                0.99591,                0.97192,                0.88236,                0.91643,                0.81037,                0.97162,                0.88688,                 0.9152,                0.85036,                0.51125,                0.77535,                0.58175,                0.73551,              0.0013644,              0.0013644,              0.0013644
                     13,                0.41023,                0.62276,                0.39764,                0.98792,                0.97067,                0.88832,                0.91987,                0.80835,                0.97067,                0.88832,                0.91772,                0.84865,                0.53738,                0.71601,                0.62099,                0.76371,              0.0013369,              0.0013369,              0.0013369
                     14,                 0.4005,                0.63011,                0.39036,                0.98695,                0.96224,                0.89959,                0.91605,                 0.8121,                0.96073,                0.89624,                0.91456,                0.84659,                0.52069,                0.80004,                0.52257,                0.74047,              0.0013094,              0.0013094,              0.0013094
                     15,                0.40561,                0.62858,                0.39523,                0.98841,                0.93646,                0.87442,                0.90567,                0.79509,                 0.9356,                0.87275,                0.90624,                0.83456,                0.53327,                0.69552,                0.58064,                0.79396,              0.0012819,              0.0012819,              0.0012819
                     16,                0.38789,                0.58962,                0.37912,                0.97684,                0.94964,                0.88832,                0.90766,                0.80203,                0.96177,                0.88329,                0.90715,                  0.838,                0.51709,                0.72334,                0.61137,                0.71622,              0.0012544,              0.0012544,              0.0012544
                     17,                  0.391,                0.60489,                0.37272,                0.97638,                0.95569,                 0.8898,                0.91458,                0.82428,                 0.9576,                0.89148,                 0.9154,                0.84643,                0.44913,                0.73151,                0.53601,                0.67685,              0.0012269,              0.0012269,              0.0012269
                     18,                0.37505,                0.57818,                0.36205,                0.96927,                0.96996,                0.89589,                0.91253,                0.82751,                0.96996,                0.89589,                0.91013,                0.86293,                0.47899,                0.74393,                 0.6494,                0.72097,              0.0011994,              0.0011994,              0.0011994
                     19,                0.36349,                 0.5543,                 0.3478,                 0.9615,                0.96342,                0.89503,                0.91498,                0.82623,                0.96485,                0.89671,                0.91546,                0.84976,                0.46814,                0.74048,                0.53228,                0.72079,              0.0011719,              0.0011719,              0.0011719
                     20,                0.36837,                0.55565,                0.34922,                0.96275,                0.96947,                0.88848,                0.91279,                0.82546,                0.96658,                0.89061,                0.91328,                0.85585,                0.46697,                0.71104,                0.55565,                0.71517,              0.0011444,              0.0011444,              0.0011444
                     21,                0.35839,                0.53812,                0.33826,                 0.9553,                0.97991,                0.89443,                0.92511,                0.84715,                0.97886,                0.89141,                0.92456,                 0.8735,                0.46595,                0.68459,                0.49039,                0.70324,              0.0011169,              0.0011169,              0.0011169
                     22,                0.35691,                0.52143,                0.32984,                0.95772,                 0.9691,                 0.8948,                0.91579,                0.83552,                0.97428,                 0.8911,                0.91371,                0.86967,                0.44287,                0.72274,                0.54958,                0.65817,              0.0010894,              0.0010894,              0.0010894
                     23,                0.35937,                0.52605,                0.33277,                0.96004,                0.97116,                0.89503,                0.92399,                0.83819,                0.97654,                0.88953,                0.92381,                0.86526,                0.45132,                0.76458,                0.49436,                0.67663,              0.0010619,              0.0010619,              0.0010619
                     24,                0.35236,                0.51448,                0.33086,                0.95455,                0.96317,                0.89439,                0.92361,                0.84811,                0.95339,                0.90156,                0.91989,                0.86927,                0.42275,                0.65942,                0.56755,                0.64894,              0.0010344,              0.0010344,              0.0010344
                     25,                0.34344,                0.50703,                0.31932,                0.94821,                 0.9758,                0.90007,                0.92401,                 0.8467,                0.97384,                0.89815,                0.92109,                0.87187,                0.43283,                0.64602,                0.51761,                0.65498,              0.0010069,              0.0010069,              0.0010069
                     26,                0.33638,                0.49946,                0.31031,                0.94819,                0.97591,                0.89049,                0.92736,                0.85326,                0.97719,                0.89456,                0.92481,                 0.8792,                0.42072,                0.68446,                0.47778,                0.65164,             0.00097936,             0.00097936,             0.00097936
                     27,                0.33891,                0.49284,                0.31081,                  0.947,                0.95113,                0.88933,                0.91673,                0.83561,                 0.9529,                0.89244,                0.91374,                 0.8701,                0.43803,                0.66748,                 0.5605,                0.68068,             0.00095186,             0.00095186,             0.00095186
                     28,                 0.3362,                0.49974,                0.30982,                0.94151,                0.97118,                0.87908,                0.92035,                 0.8338,                0.96918,                0.87716,                0.91467,                0.85897,                0.44117,                0.68658,                0.54138,                0.63943,             0.00092435,             0.00092435,             0.00092435
                     29,                0.32882,                0.46625,                0.30274,                0.94142,                0.95766,                0.90175,                0.92445,                0.85118,                0.95579,                0.90007,                0.92174,                 0.8758,                0.40617,                0.66643,                0.47186,                0.64456,             0.00089685,             0.00089685,             0.00089685
