                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33159,                0.61447,                0.30839,                0.94919,                0.97052,                0.87466,                0.92979,                0.87485,                0.96734,                0.88081,                0.92668,                0.87107,                0.33134,                0.53865,                0.48627,                0.60754,             0.00055504,             0.00055504,             0.00055504
                      2,                0.33999,                0.58577,                0.31496,                0.95074,                0.96346,                0.86505,                0.91268,                0.83746,                0.96294,                 0.8655,                0.91048,                0.82147,                0.40074,                 0.7381,                0.51605,                0.64257,              0.0010887,              0.0010887,              0.0010887
                      3,                0.35498,                0.60124,                0.33645,                0.95529,                0.97728,                0.85345,                0.91962,                 0.8597,                0.96894,                 0.8584,                0.91481,                0.84488,                0.36793,                0.66577,                0.44447,                0.61259,              0.0016004,              0.0016004,              0.0016004
                      4,                0.36093,                0.61537,                0.34369,                 0.9577,                0.97006,                0.85032,                0.92064,                0.86342,                0.96989,                0.85015,                0.91404,                 0.8594,                0.36991,                0.56758,                0.47553,                0.65327,               0.001568,               0.001568,               0.001568
                      5,                0.35044,                0.59356,                0.33429,                0.95142,                0.97118,                0.86949,                0.90997,                0.85121,                 0.9772,                0.86211,                0.90567,                0.83807,                0.34854,                 0.6158,                0.61222,                0.62383,               0.001535,               0.001535,               0.001535
                      6,                0.34174,                0.57324,                0.31719,                0.94973,                0.97817,                0.86748,                0.92939,                0.87025,                0.97833,                0.86666,                0.92333,                0.85726,                 0.3371,                0.56657,                0.43393,                0.60046,               0.001502,               0.001502,               0.001502
                      7,                0.33368,                0.54526,                0.30711,                0.94066,                0.97764,                0.87473,                0.93042,                0.87292,                0.97911,                0.87719,                0.92636,                 0.8672,                 0.3139,                0.59082,                0.39559,                0.57816,               0.001469,               0.001469,               0.001469
                      8,                0.33116,                0.55464,                0.30696,                0.94193,                0.96463,                0.87876,                 0.9295,                0.87356,                0.96604,                0.87999,                0.92229,                0.86881,                0.31876,                0.57073,                0.44536,                0.57543,               0.001436,               0.001436,               0.001436
                      9,                0.32676,                0.53807,                0.30043,                0.93563,                0.96622,                0.87542,                0.93956,                0.87996,                0.96783,                0.87684,                0.93312,                0.86802,                 0.3232,                0.58181,                 0.3847,                 0.5876,              0.0014029,              0.0014029,              0.0014029
                     10,                0.32325,                0.51754,                0.29797,                0.93552,                 0.9692,                0.87541,                0.94166,                0.88784,                0.96871,                0.87911,                0.94035,                0.87547,                0.30676,                0.54855,                0.38679,                0.58085,              0.0013699,              0.0013699,              0.0013699
                     11,                0.32207,                0.49902,                0.30072,                 0.9326,                 0.9773,                0.87343,                0.94653,                0.88729,                0.96472,                0.88592,                0.94103,                0.87458,                0.30357,                0.57023,                0.36774,                0.58843,              0.0013369,              0.0013369,              0.0013369
                     12,                0.30889,                0.48871,                0.28204,                0.92764,                0.96802,                0.87765,                0.94046,                0.88115,                0.96558,                   0.88,                0.93326,                0.85825,                0.32815,                0.54184,                 0.3995,                 0.6071,              0.0013039,              0.0013039,              0.0013039
                     13,                0.30358,                0.48408,                0.27564,                0.92198,                0.97024,                0.87154,                0.93239,                0.88484,                0.96996,                 0.8712,                0.92657,                0.87094,                0.29969,                0.55302,                0.42658,                0.56922,              0.0012709,              0.0012709,              0.0012709
                     14,                0.30246,                0.47864,                0.27289,                0.92009,                0.96165,                0.87694,                0.94039,                0.88938,                0.96557,                 0.8769,                0.93626,                0.88164,                0.29498,                0.53598,                0.35517,                0.57527,              0.0012379,              0.0012379,              0.0012379
                     15,                0.29895,                0.46342,                0.26637,                0.92188,                0.95603,                0.87589,                0.93773,                 0.8818,                0.95161,                0.88305,                0.93388,                0.87221,                0.33322,                0.57233,                 0.4194,                 0.6158,              0.0012049,              0.0012049,              0.0012049
                     16,                0.29274,                0.45042,                  0.257,                0.91453,                0.97918,                0.86507,                0.91648,                0.85885,                0.97918,                0.86802,                0.91439,                0.84815,                 0.3274,                0.57261,                0.58192,                0.59579,              0.0011719,              0.0011719,              0.0011719
                     17,                0.29047,                0.44736,                0.26124,                0.91704,                0.97036,                0.87636,                0.93994,                0.88967,                0.97102,                 0.8769,                0.93534,                 0.8736,                 0.3035,                 0.5446,                0.40565,                0.57346,              0.0011389,              0.0011389,              0.0011389
                     18,                0.29066,                0.42952,                0.25306,                0.91647,                 0.9625,                0.88542,                0.94278,                0.89107,                0.96263,                0.88442,                0.93806,                0.87501,                0.28573,                0.54277,                0.35909,                0.56539,              0.0011059,              0.0011059,              0.0011059
                     19,                0.28557,                0.43038,                0.25116,                0.90893,                 0.9774,                0.86928,                0.93607,                0.89339,                0.97972,                0.87124,                0.93499,                0.88759,                0.28371,                0.53963,                0.36033,                0.56017,              0.0010729,              0.0010729,              0.0010729
