Episode,Score
0,4.080913446958856
1,3.927946332632892
2,-1.2565859390075023
3,-1.9485505797743115
4,3.089721073398243
5,1.515591612485116
6,-0.01795521247533749
7,-1.5850797445354876
8,-2.3960032950583403
9,-1.7756459917151295
10,-0.38590434065036217
11,-1.5463612966827722
12,-1.568976112161555
13,-1.8138878505454816
14,-1.9595319056637532
15,-0.09753292961688298
16,1.0832764261319263
17,4.597628427312559
18,-2.333619453119329
19,-2.1099951964869934
20,2.657963199583473
21,-2.1813318100923533
22,-2.168016698164024
23,-3.068169696850458
24,1.5555828365469908
25,-2.3025900573992186
26,-2.832986790291443
27,-2.0092117593482817
28,-2.1576381715001385
29,-2.2785688537897673
30,1.0907826369890485
31,21.554519400668752
32,-0.1573340734937556
33,-2.674376628589499
34,-2.6442949366400175
35,-2.93157705421352
36,-2.7769791508334603
37,-2.751041076642628
38,-2.635465551373247
39,4.814921786947622
