                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27826,                0.40533,                0.24107,                0.90975,                0.94798,                0.92386,                0.95596,                0.89091,                0.97558,                0.90238,                0.95541,                0.90415,                0.35577,                0.55097,                0.38878,                0.59554,             0.00055363,             0.00055363,             0.00055363
                      2,                0.30275,                0.43458,                 0.2664,                0.92152,                0.94821,                0.89246,                0.94765,                0.86701,                0.95052,                0.89179,                0.94589,                0.87952,                0.43289,                0.61057,                 0.4456,                0.68464,              0.0010818,              0.0010818,              0.0010818
                      3,                0.32791,                 0.4723,                0.29464,                0.93399,                0.93642,                0.88583,                0.92524,                0.84112,                0.93709,                0.88647,                0.92499,                0.85406,                0.44072,                 0.6765,                0.57542,                 0.6876,              0.0015825,              0.0015825,              0.0015825
                      4,                0.32876,                 0.4758,                0.29667,                0.93277,                0.94624,                0.87876,                0.92806,                0.85517,                0.94631,                0.87819,                0.92792,                0.86743,                0.44456,                0.67814,                0.49088,                0.67457,              0.0015432,              0.0015432,              0.0015432
                      5,                0.33056,                0.47639,                0.30182,                0.93721,                0.94497,                0.86059,                0.91981,                0.82501,                0.94726,                0.85474,                 0.9197,                0.84798,                0.47391,                0.69134,                0.60257,                0.73679,               0.001502,               0.001502,               0.001502
                      6,                 0.3295,                0.46866,                0.29387,                0.93723,                0.96513,                0.85463,                0.89839,                  0.802,                0.96678,                0.85563,                0.89781,                0.82763,                0.50509,                0.79443,                0.73986,                0.75998,              0.0014607,              0.0014607,              0.0014607
                      7,                0.33209,                0.46585,                0.29359,                0.93374,                0.91645,                0.85936,                0.91497,                0.82022,                0.91522,                0.85331,                0.91165,                0.83714,                0.45323,                 0.7012,                0.55043,                0.70051,              0.0014195,              0.0014195,              0.0014195
                      8,                0.32337,                0.45565,                0.28791,                 0.9305,                0.93098,                0.87503,                0.92256,                0.83491,                 0.9303,                0.87654,                0.92211,                0.85352,                0.46535,                0.67621,                0.55377,                 0.6887,              0.0013782,              0.0013782,              0.0013782
                      9,                0.32031,                0.43891,                0.28512,                0.92899,                 0.9007,                0.85054,                0.87946,                0.77737,                0.90372,                 0.8565,                0.88685,                0.79752,                0.49267,                0.75874,                  0.691,                0.71874,              0.0013369,              0.0013369,              0.0013369
                     10,                0.31574,                0.43684,                0.27809,                0.92559,                0.91853,                0.87254,                0.92368,                0.83606,                0.92909,                0.86777,                0.92712,                0.85255,                0.44852,                 0.6457,                0.52357,                0.69829,              0.0012957,              0.0012957,              0.0012957
                     11,                0.31187,                0.42677,                0.27155,                0.92305,                0.95781,                 0.8646,                 0.9272,                0.84717,                0.95689,                 0.8636,                0.92546,                0.84693,                0.42895,                0.72629,                0.48568,                0.66458,              0.0012544,              0.0012544,              0.0012544
                     12,                 0.3066,                0.42298,                 0.2697,                 0.9187,                0.95485,                0.87573,                0.93414,                0.84518,                0.95257,                0.87515,                 0.9328,                0.86991,                0.46007,                0.65948,                0.48574,                0.68779,              0.0012132,              0.0012132,              0.0012132
                     13,                0.30517,                0.41233,                0.26358,                0.91991,                0.94783,                0.85873,                0.91999,                0.84316,                0.95016,                0.86084,                0.92247,                0.85432,                0.41698,                0.66107,                0.50537,                0.65089,              0.0011719,              0.0011719,              0.0011719
                     14,                0.30274,                0.42289,                0.26377,                0.91786,                0.90126,                0.84714,                0.90472,                0.81998,                0.90652,                0.85815,                0.91195,                 0.8319,                0.45648,                0.72591,                0.54231,                0.69138,              0.0011306,              0.0011306,              0.0011306
                     15,                0.29965,                0.40246,                 0.2576,                0.91813,                0.93963,                0.87509,                0.92744,                0.83907,                0.93949,                0.88335,                0.93158,                0.85624,                 0.4473,                0.66809,                0.48788,                0.68544,              0.0010894,              0.0010894,              0.0010894
                     16,                0.29418,                0.38483,                0.25162,                0.91551,                0.95672,                0.88822,                0.92598,                0.84793,                0.95971,                0.89075,                0.92808,                0.86035,                0.41183,                0.70563,                0.46918,                0.65772,              0.0010481,              0.0010481,              0.0010481
                     17,                0.28931,                0.39423,                0.24581,                0.91009,                0.96396,                0.88691,                0.92265,                0.84678,                0.96631,                0.88899,                0.92513,                0.86479,                0.40931,                0.65809,                0.48826,                0.64829,              0.0010069,              0.0010069,              0.0010069
                     18,                0.29146,                0.38619,                0.24755,                0.91333,                0.93533,                 0.8678,                0.92637,                0.84287,                0.93711,                0.86912,                0.92682,                0.85186,                0.44044,                0.71197,                0.49953,                0.65477,             0.00096561,             0.00096561,             0.00096561
                     19,                0.28584,                0.37058,                 0.2445,                0.90842,                0.96005,                 0.8733,                0.92465,                 0.8527,                0.96249,                0.87518,                0.92635,                0.85876,                0.40113,                0.67528,                0.51152,                0.64327,             0.00092435,             0.00092435,             0.00092435
