                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74399,                 1.4069,                0.91424,                 1.2324,                0.78402,                  0.733,                0.74488,                0.50249,                0.78754,                0.73266,                0.74275,                0.54351,                 1.1794,                 1.6387,                  1.297,                 1.4437,             0.00055494,             0.00055494,             0.00055494
                      2,                0.67956,                 1.2813,                0.74716,                 1.1725,                0.83266,                 0.8071,                0.79774,                0.62853,                 0.8451,                0.81892,                0.80709,                0.61806,                0.75874,                 1.2255,                 1.0425,                 1.0469,              0.0010949,              0.0010949,              0.0010949
                      3,                0.61967,                 1.2079,                 0.6685,                 1.1357,                0.93275,                0.81162,                0.85219,                0.71015,                0.93503,                0.80974,                0.84774,                0.67706,                0.73004,                 1.2792,                 1.0566,                 0.9811,              0.0016191,              0.0016191,              0.0016191
                      4,                0.57746,                 1.1285,                0.61781,                 1.1064,                0.93465,                0.82637,                0.86107,                0.73319,                0.92825,                0.82202,                0.85364,                0.71369,                0.58177,                 1.2314,                0.88939,                0.82614,              0.0015963,              0.0015963,              0.0015963
                      5,                0.52051,                 1.0172,                0.55243,                 1.0663,                0.96211,                0.84826,                0.87274,                0.78048,                0.96275,                 0.8463,                0.86948,                0.76173,                0.49519,                0.95687,                0.89902,                0.75419,              0.0015727,              0.0015727,              0.0015727
                      6,                0.49367,                0.94229,                0.51642,                 1.0542,                0.96758,                0.85087,                0.87416,                0.78018,                0.97074,                0.85492,                0.87514,                0.79088,                0.48969,                 0.8332,                0.87643,                0.76857,              0.0015491,              0.0015491,              0.0015491
                      7,                0.48285,                0.90135,                0.49656,                  1.041,                  0.969,                0.84909,                 0.8945,                0.79632,                0.96664,                0.84699,                0.88869,                0.78305,                0.46108,                0.79855,                0.60728,                0.76215,              0.0015255,              0.0015255,              0.0015255
                      8,                0.45821,                0.86751,                0.46574,                 1.0232,                0.96816,                0.85468,                  0.889,                0.80351,                 0.9689,                0.85529,                0.88799,                0.81269,                0.45943,                0.80378,                0.65708,                0.72625,               0.001502,               0.001502,               0.001502
                      9,                 0.4406,                0.85129,                0.44752,                 1.0156,                 0.9834,                0.86031,                0.90173,                 0.8051,                0.98206,                0.85904,                 0.8958,                0.81579,                 0.4653,                0.76851,                0.53524,                0.72486,              0.0014784,              0.0014784,              0.0014784
                     10,                0.43129,                0.81006,                0.44607,                 1.0064,                0.97931,                0.86038,                0.92012,                0.83943,                0.97932,                0.86186,                0.90971,                0.82421,                0.40404,                0.77868,                0.45087,                0.68379,              0.0014548,              0.0014548,              0.0014548
                     11,                0.42552,                0.75694,                0.42768,                 1.0057,                0.97488,                0.85774,                0.90817,                0.82128,                0.97454,                0.85645,                0.89883,                0.82867,                 0.4335,                0.74382,                0.49642,                0.70667,              0.0014312,              0.0014312,              0.0014312
                     12,                0.41107,                0.76547,                0.41452,                0.99665,                0.97264,                0.85305,                0.90766,                 0.8352,                0.97235,                0.85095,                0.90069,                 0.8299,                0.40418,                0.74762,                0.48556,                0.67718,              0.0014077,              0.0014077,              0.0014077
                     13,                 0.4068,                0.73854,                0.41316,                 0.9925,                0.98316,                0.87214,                0.93059,                0.85891,                0.98396,                0.87087,                0.92355,                 0.8515,                0.39759,                0.72661,                0.44235,                0.66711,              0.0013841,              0.0013841,              0.0013841
                     14,                0.39727,                0.71084,                0.39689,                0.98729,                0.97728,                 0.8627,                0.91932,                0.84109,                0.97588,                0.86144,                0.91082,                0.82028,                0.40945,                0.72325,                0.47177,                0.69019,              0.0013605,              0.0013605,              0.0013605
                     15,                0.39597,                0.73493,                0.40246,                0.98821,                 0.9638,                0.85782,                0.90912,                0.82832,                0.96379,                0.85698,                0.90102,                0.82621,                0.41233,                0.69322,                0.49571,                0.69845,              0.0013369,              0.0013369,              0.0013369
